game_id,additions,additions_count
324997,[],0
906547,[],0
268446,[],0
50576,"[{'id': 964508, 'slug': 'atomic-heart-annihilation-instinct', 'name': 'Atomic Heart: Annihilation Instinct', 'released': '2025-01-28', 'tba': False, 'background_image': 'https://media.rawg.io/media/games/02a/02ad22368b2937e035135fed9d06dbfe.jpg', 'rating': 3.62, 'rating_top': 4, 'ratings': [{'id': 4, 'title': 'recommended', 'count': 20, 'percent': 34.48}, {'id': 3, 'title': 'meh', 'count': 16, 'percent': 27.59}, {'id': 5, 'title': 'exceptional', 'count': 15, 'percent': 25.86}, {'id': 1, 'title': 'skip', 'count': 7, 'percent': 12.07}], 'ratings_count': 56, 'reviews_text_count': 0, 'added': 159, 'added_by_status': {'yet': 21, 'owned': 23, 'beaten': 59, 'toplay': 50, 'dropped': 5, 'playing': 1}, 'metacritic': None, 'playtime': 0, 'suggestions_count': 570, 'updated': '2025-10-25T13:42:59', 'user_game': None, 'reviews_count': 58, 'saturated_color': '0f0f0f', 'dominant_color': '0f0f0f', 'platforms': [{'platform': {'id': 187, 'name': 'PlayStation 5', 'slug': 'playstation5', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1353, 'image_background': 'https://media.rawg.io/media/games/559/559bc0768f656ad0c63c54b80a82d680.jpg'}, 'released_at': '2025-01-28', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 18, 'name': 'PlayStation 4', 'slug': 'playstation4', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 6947, 'image_background': 'https://media.rawg.io/media/games/490/49016e06ae2103881ff6373248843069.jpg'}, 'released_at': '2025-01-28', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 186, 'name': 'Xbox Series S/X', 'slug': 'xbox-series-x', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1166, 'image_background': 'https://media.rawg.io/media/games/345/3452d9d4483686c602372e0e6b3bb4cc.jpg'}, 'released_at': '2025-01-28', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 4, 'name': 'PC', 'slug': 'pc', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 558895, 'image_background': 'https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg'}, 'released_at': '2025-01-28', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 1, 'name': 'Xbox One', 'slug': 'xbox-one', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 5712, 'image_background': 'https://media.rawg.io/media/games/73e/73eecb8909e0c39fb246f457b5d6cbbe.jpg'}, 'released_at': '2025-01-28', 'requirements_en': None, 'requirements_ru': None}], 'parent_platforms': [{'platform': {'id': 1, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 2, 'name': 'PlayStation', 'slug': 'playstation'}}, {'platform': {'id': 3, 'name': 'Xbox', 'slug': 'xbox'}}], 'genres': [{'id': 2, 'name': 'Shooter', 'slug': 'shooter', 'games_count': 59602, 'image_background': 'https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg'}], 'stores': [{'id': 964874, 'store': {'id': 3, 'name': 'PlayStation Store', 'slug': 'playstation-store', 'domain': 'store.playstation.com', 'games_count': 8061, 'image_background': 'https://media.rawg.io/media/games/310/3106b0e012271c5ffb16497b070be739.jpg'}}, {'id': 964873, 'store': {'id': 1, 'name': 'Steam', 'slug': 'steam', 'domain': 'store.steampowered.com', 'games_count': 121767, 'image_background': 'https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg'}}], 'clip': None, 'tags': [], 'esrb_rating': {'id': 4, 'name': 'Mature', 'slug': 'mature'}, 'short_screenshots': [{'id': -1, 'image': 'https://media.rawg.io/media/games/02a/02ad22368b2937e035135fed9d06dbfe.jpg'}, {'id': 3920519, 'image': 'https://media.rawg.io/media/screenshots/999/999755999263dca2cd5dffd6a62b6cb8.jpg'}, {'id': 3920520, 'image': 'https://media.rawg.io/media/screenshots/3bd/3bde377d84e30d171189bfcaa373abda.jpg'}, {'id': 3920521, 'image': 'https://media.rawg.io/media/screenshots/1ec/1ec418b2e7bfe7f11287ff0a1148f6c1.jpg'}, {'id': 3920522, 'image': 'https://media.rawg.io/media/screenshots/8ef/8efd75a943a5712357208c5de3a7aeab.jpg'}, {'id': 3920523, 'image': 'https://media.rawg.io/media/screenshots/d93/d93f982eae677e1c9606e703429415c5.jpg'}, {'id': 3920524, 'image': 'https://media.rawg.io/media/screenshots/b5f/b5f31182c513a52af35f677814018326.jpg'}]}, {'id': 976607, 'slug': 'atomic-heart-trapped-in-limbo', 'name': 'Atomic Heart: Trapped in Limbo', 'released': '2024-02-06', 'tba': False, 'background_image': 'https://media.rawg.io/media/screenshots/c5b/c5b60064f93d82eb1aa84c5cb514eaa0.jpg', 'rating': 2.86, 'rating_top': 3, 'ratings': [{'id': 3, 'title': 'meh', 'count': 15, 'percent': 51.72}, {'id': 1, 'title': 'skip', 'count': 7, 'percent': 24.14}, {'id': 4, 'title': 'recommended', 'count': 4, 'percent': 13.79}, {'id': 5, 'title': 'exceptional', 'count': 3, 'percent': 10.34}], 'ratings_count': 27, 'reviews_text_count': 0, 'added': 57, 'added_by_status': {'yet': 7, 'owned': 7, 'beaten': 28, 'toplay': 10, 'dropped': 5}, 'metacritic': None, 'playtime': 0, 'suggestions_count': 46, 'updated': '2025-09-20T16:40:17', 'user_game': None, 'reviews_count': 29, 'saturated_color': '0f0f0f', 'dominant_color': '0f0f0f', 'platforms': [{'platform': {'id': 186, 'name': 'Xbox Series S/X', 'slug': 'xbox-series-x', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1166, 'image_background': 'https://media.rawg.io/media/games/345/3452d9d4483686c602372e0e6b3bb4cc.jpg'}, 'released_at': '2024-02-06', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 1, 'name': 'Xbox One', 'slug': 'xbox-one', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 5712, 'image_background': 'https://media.rawg.io/media/games/73e/73eecb8909e0c39fb246f457b5d6cbbe.jpg'}, 'released_at': '2024-02-06', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 18, 'name': 'PlayStation 4', 'slug': 'playstation4', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 6947, 'image_background': 'https://media.rawg.io/media/games/490/49016e06ae2103881ff6373248843069.jpg'}, 'released_at': '2024-02-06', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 187, 'name': 'PlayStation 5', 'slug': 'playstation5', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1353, 'image_background': 'https://media.rawg.io/media/games/559/559bc0768f656ad0c63c54b80a82d680.jpg'}, 'released_at': '2024-02-06', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 4, 'name': 'PC', 'slug': 'pc', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 558895, 'image_background': 'https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg'}, 'released_at': '2024-02-06', 'requirements_en': None, 'requirements_ru': None}], 'parent_platforms': [{'platform': {'id': 1, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 2, 'name': 'PlayStation', 'slug': 'playstation'}}, {'platform': {'id': 3, 'name': 'Xbox', 'slug': 'xbox'}}], 'genres': [{'id': 2, 'name': 'Shooter', 'slug': 'shooter', 'games_count': 59602, 'image_background': 'https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg'}, {'id': 83, 'name': 'Platformer', 'slug': 'platformer', 'games_count': 100905, 'image_background': 'https://media.rawg.io/media/games/d5a/d5a24f9f71315427fa6e966fdd98dfa6.jpg'}], 'stores': [{'id': 977523, 'store': {'id': 2, 'name': 'Xbox Store', 'slug': 'xbox-store', 'domain': 'microsoft.com', 'games_count': 4930, 'image_background': 'https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg'}}, {'id': 977522, 'store': {'id': 3, 'name': 'PlayStation Store', 'slug': 'playstation-store', 'domain': 'store.playstation.com', 'games_count': 8061, 'image_background': 'https://media.rawg.io/media/games/310/3106b0e012271c5ffb16497b070be739.jpg'}}, {'id': 977521, 'store': {'id': 1, 'name': 'Steam', 'slug': 'steam', 'domain': 'store.steampowered.com', 'games_count': 121767, 'image_background': 'https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg'}}], 'clip': None, 'tags': [], 'esrb_rating': None, 'short_screenshots': [{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/c5b/c5b60064f93d82eb1aa84c5cb514eaa0.jpg'}, {'id': 4007531, 'image': 'https://media.rawg.io/media/screenshots/c5b/c5b60064f93d82eb1aa84c5cb514eaa0.jpg'}]}]",2
795632,[],0
58779,[],0
638654,[],0
327239,[],0
840788,[],0
914789,[],0
