game_id,achievements,achievements_count
292844,"[{'id': 1870764, 'name': 'Speedrunner', 'description': 'Complete the game in under 5 hours', 'image': 'https://media.rawg.io/media/achievements/d06/d0651ecacc9ff47766c2aa4b976415c8.jpg', 'percent': '3.45'}, {'id': 1870732, 'name': 'True Hunter', 'description': ""Receive the Hunter's Memento"", 'image': 'https://media.rawg.io/media/achievements/24f/24fcfd0793255ef803a2140de2d555c6.jpg', 'percent': '6.90'}, {'id': 1870717, 'name': 'Arsenal', 'description': 'Acquire all Tools', 'image': 'https://media.rawg.io/media/achievements/f22/f222abfaa57d2312de7919e0e596e303.jpg', 'percent': '24.14'}, {'id': 1870763, 'name': 'Completion', 'description': 'Achieve 100% game completion and finish the game', 'image': 'https://media.rawg.io/media/achievements/1c5/1c53d74f7efc9f25770df2eefc340996.jpg', 'percent': '24.14'}, {'id': 1870723, 'name': 'Masked', 'description': 'Acquire all Mask Shards', 'image': 'https://media.rawg.io/media/achievements/43b/43b3bb793f00e658fee1ac8974ce6054.jpg', 'percent': '27.59'}, {'id': 1870725, 'name': 'Extended', 'description': 'Acquire all Spool Fragments', 'image': 'https://media.rawg.io/media/achievements/18f/18f4f39f7b44d346dd944ef2614d044d.jpg', 'percent': '31.03'}, {'id': 1870719, 'name': 'Woven', 'description': 'Bind all Silk Skills', 'image': 'https://media.rawg.io/media/achievements/45f/45f00d96bc52442ac0fbc868c16c721a.jpg', 'percent': '34.48'}, {'id': 1870721, 'name': 'Consumed', 'description': 'Claim all Crests', 'image': 'https://media.rawg.io/media/achievements/6d7/6d73047eb50e4d937bda2b1f7269dcbd.jpg', 'percent': '34.48'}, {'id': 1870726, 'name': 'Regenerated', 'description': 'Acquire all Silk Hearts', 'image': 'https://media.rawg.io/media/achievements/9ad/9ad4e3a758baf578b1dd892bdb7f7ce1.jpg', 'percent': '37.93'}, {'id': 1870734, 'name': 'Fleafriend', 'description': ""Rescue all of Pharloom's lost fleas and receive their final gift"", 'image': 'https://media.rawg.io/media/achievements/711/711c9ea03b9be1380326f4e69030c82c.jpg', 'percent': '44.83'}]",10
303576,"[{'id': 1875325, 'name': 'What Sup?', 'description': 'Feed on 30 citizens with no witnesses.', 'image': 'https://media.rawg.io/media/achievements/861/8612bded07dace9a559d8ded11f277ec.jpg', 'percent': '33.33'}, {'id': 1875346, 'name': 'A Nice Cool Drink', 'description': 'Feed on all humans with Phlegmatic Blood Resonance.', 'image': 'https://media.rawg.io/media/achievements/88f/88f7a9c2f7b8138a6353b56426b6a2a9.jpg', 'percent': '33.33'}, {'id': 1875285, 'name': 'Bowled Over', 'description': 'Knock down 5 enemies in a single Brujah Charge.', 'image': 'https://media.rawg.io/media/achievements/839/839ff6e485cd75370e67e8fae47cd27b.jpg', 'percent': '33.33'}, {'id': 1875291, 'name': 'Wings of the Night', 'description': 'Travel 75 meters in a single glide.', 'image': 'https://media.rawg.io/media/achievements/5e9/5e96253ff7672af52393246e919e9aaa.jpg', 'percent': '33.33'}, {'id': 1875314, 'name': 'Elder Bibliomaniac', 'description': 'As Phyre, collect 50 Codex entries.', 'image': 'https://media.rawg.io/media/achievements/e1c/e1cd92a0c6024fb5655ea6da5486440b.jpg', 'percent': '33.33'}, {'id': 1875351, 'name': 'Love Me!', 'description': 'Use Entrancing Kiss on 5 Thin-blood vampires.', 'image': 'https://media.rawg.io/media/achievements/f9c/f9cf649f4fd8177a5ff61793bd545fe6.jpg', 'percent': '33.33'}, {'id': 1875360, 'name': 'A Gauntlet Laid Down', 'description': ""Drink blood directly from Onda's veins."", 'image': 'https://media.rawg.io/media/achievements/c28/c28e5d6e9c6a29c401a0c0ac6d520de6.jpg', 'percent': '33.33'}, {'id': 1875359, 'name': 'A Moment of Patience', 'description': ""Drink blood directly from Patience's veins."", 'image': 'https://media.rawg.io/media/achievements/586/5860eef6efb3638cc605e690a2042d33.jpg', 'percent': '33.33'}, {'id': 1875305, 'name': 'By Royal Decree', 'description': 'Combine Mass Manipulation and Terminal Decree to eliminate at least 6 enemies at once.', 'image': 'https://media.rawg.io/media/achievements/c12/c123a1e6509b159026422ddeb3ad5960.jpg', 'percent': '33.33'}, {'id': 1875354, 'name': 'Hot Lips', 'description': 'Use Entrancing Kiss on someone under the influence of Cauldron of Blood.', 'image': 'https://media.rawg.io/media/achievements/73e/73e89cf3aad8f2be1e0a35c4a3a90899.jpg', 'percent': '33.33'}]",10
891238,"[{'id': 1872981, 'name': 'The Unseen Sentinel', 'description': ""Fulfill the Prophecy 'The Unseen Sentinel'"", 'image': 'https://media.rawg.io/media/achievements/eae/eae8a028968bf06bbb9373e2c95f9ee6.jpg', 'percent': '20.00'}, {'id': 1872979, 'name': 'Unassailable Insight', 'description': 'Fully upgrade all Arcana', 'image': 'https://media.rawg.io/media/achievements/7ff/7ff798df175ffbc830adef8bcecab257.jpg', 'percent': '20.00'}, {'id': 1873008, 'name': ""Mercy, Night's Executioner"", 'description': 'Earn the second Gift of the Veil', 'image': 'https://media.rawg.io/media/achievements/da2/da2233efc05d15c1459e14a76735fba5.jpg', 'percent': '20.00'}, {'id': 1872986, 'name': 'Sentimental Value', 'description': 'Collect every Keepsake', 'image': 'https://media.rawg.io/media/achievements/c8f/c8f5a317abe96844dc6d446049dbb00c.jpg', 'percent': '20.00'}, {'id': 1873000, 'name': 'Bearing Dark Gifts', 'description': ""Fulfill the Prophecy 'Bearing Dark Gifts'"", 'image': 'https://media.rawg.io/media/achievements/319/319e7b8b1c55c62e4013d01d5138586b.jpg', 'percent': '20.00'}, {'id': 1872996, 'name': 'Denizens of the Depths', 'description': ""Fulfill the Prophecy 'Denizens of the Depths'"", 'image': 'https://media.rawg.io/media/achievements/cef/cef645169e0f52975ec6fca85ee59c64.jpg', 'percent': '20.00'}, {'id': 1873001, 'name': 'Born to Win', 'description': ""Fulfill the Prophecy 'Born to Win'"", 'image': 'https://media.rawg.io/media/achievements/aec/aec700d01e941661516fc06898b29648.jpg', 'percent': '20.00'}, {'id': 1872983, 'name': 'Animal Whisperer', 'description': 'Recruit all Animal Familiars', 'image': 'https://media.rawg.io/media/achievements/a1a/a1aa5b058cee101b120173d66ed06ea7.jpg', 'percent': '20.00'}, {'id': 1872988, 'name': 'Improbable Outcomes', 'description': ""Fulfill the Prophecy 'Improbable Outcomes'"", 'image': 'https://media.rawg.io/media/achievements/4d1/4d19b7901bb44807c435c131a9b92f23.jpg', 'percent': '20.00'}, {'id': 1872998, 'name': 'Sword of the Night', 'description': ""Fulfill the Prophecy 'Sword of the Night'"", 'image': 'https://media.rawg.io/media/achievements/0de/0dea8279cf4f9eecf1d999858291546a.jpg', 'percent': '20.00'}]",10
983210,"[{'id': 1861478, 'name': 'Connoisseur', 'description': 'Find all 33 music records.', 'image': 'https://media.rawg.io/media/achievements/1c7/1c76335df5eebd0797749615d2998f71.jpg', 'percent': '20.93'}, {'id': 1861447, 'name': 'Follow The Trail', 'description': 'Find all of the journals from prior expeditions.', 'image': 'https://media.rawg.io/media/achievements/e3c/e3cea0ef81316153f9c9a5cc3a540bd4.jpg', 'percent': '23.26'}, {'id': 1861467, 'name': 'Survivor', 'description': 'Reach level 99.', 'image': 'https://media.rawg.io/media/achievements/f50/f50773d4d0de363f93135b4ca941d6f7.jpg', 'percent': '23.26'}, {'id': 1861463, 'name': 'Weapon Mastery', 'description': 'Fully upgrade a weapon.', 'image': 'https://media.rawg.io/media/achievements/1fc/1fcecbf143e41212953efeeb63beedaa.jpg', 'percent': '37.21'}, {'id': 1861466, 'name': 'Trailbreaker', 'description': 'Reach level 66.', 'image': 'https://media.rawg.io/media/achievements/998/99834aee3e53e3f3cfffba2040e58f89.jpg', 'percent': '53.49'}, {'id': 1861481, 'name': 'Professional', 'description': 'Defeat a boss without taking any damage.', 'image': 'https://media.rawg.io/media/achievements/e62/e62988caa5fb402740838cfc933474d3.jpg', 'percent': '72.09'}, {'id': 1861484, 'name': 'A Peculiar Encounter', 'description': 'Defeat the Mime in Lumière.', 'image': 'https://media.rawg.io/media/achievements/727/72734dd480991b888204b4a1dd37cfd2.jpg', 'percent': '72.09'}, {'id': 1861465, 'name': 'Expeditioner', 'description': 'Reach level 33.', 'image': 'https://media.rawg.io/media/achievements/0ae/0aed59a40a0457a26ce905480db49388.jpg', 'percent': '74.42'}, {'id': 1861482, 'name': 'Curious', 'description': 'Witness an optional scene at camp.', 'image': 'https://media.rawg.io/media/achievements/12a/12a8cdadaa64d0e74c1c2ee6abf2b4c6.jpg', 'percent': '88.37'}, {'id': 1861462, 'name': 'Weapon Upgrade', 'description': 'Upgrade a weapon once.', 'image': 'https://media.rawg.io/media/achievements/0f4/0f4d9f00b6eae24a3584ead050df8b37.jpg', 'percent': '88.37'}]",10
994603,"[{'id': 1856532, 'name': ""We're Gonna Need a Bigger Boat"", 'description': 'Duuuun dun… duuuun dun…', 'image': 'https://media.rawg.io/media/achievements/b86/b86b8dbfe0cc95d6874364debb30978d.jpg', 'percent': '2.70'}, {'id': 1856522, 'name': 'Sisters: A Tale Of Two Besties', 'description': 'Relax on all 6 benches', 'image': 'https://media.rawg.io/media/achievements/8a8/8a82e908b5fabb7f32bf58074bbad4be.jpg', 'percent': '2.70'}, {'id': 1856536, 'name': ""Goin' Whole Hog"", 'description': 'Let it rip', 'image': 'https://media.rawg.io/media/achievements/a7d/a7da715ada19e0f607259040a3701c42.jpg', 'percent': '5.41'}, {'id': 1856530, 'name': 'A Friendly Push', 'description': 'Monkey strong', 'image': 'https://media.rawg.io/media/achievements/7fe/7fe767a5f9a8820c2169c6ff895aa9b3.jpg', 'percent': '13.51'}, {'id': 1856533, 'name': 'Are We the Baddies?', 'description': ""No worries, it's just a simulation"", 'image': 'https://media.rawg.io/media/achievements/7eb/7eb5e071cca195a096a689ab03852570.jpg', 'percent': '16.22'}, {'id': 1856525, 'name': 'Tazed and Confused', 'description': 'Adding insult to injury', 'image': 'https://media.rawg.io/media/achievements/921/92159320ff34d9621d522f1ccce1ca51.jpg', 'percent': '27.03'}, {'id': 1856520, 'name': 'Chair the Load', 'description': 'Get off me...', 'image': 'https://media.rawg.io/media/achievements/1ce/1ce139eab3ac87cc916a31f62385d77d.jpg', 'percent': '35.14'}, {'id': 1856518, 'name': 'Bookworms', 'description': 'Complete all side stories', 'image': 'https://media.rawg.io/media/achievements/a02/a0281adeb59c77e030e1ef77132bb45c.jpg', 'percent': '37.84'}, {'id': 1856526, 'name': 'Locked Up', 'description': 'No way out', 'image': 'https://media.rawg.io/media/achievements/78f/78fa50d5b61598ea8c6e025c8c61ef7a.jpg', 'percent': '40.54'}, {'id': 1856523, 'name': 'One Bird, Three Stones', 'description': ""You couldn't have known"", 'image': 'https://media.rawg.io/media/achievements/922/922078b019dcbf494c27b546bcaebe6a.jpg', 'percent': '43.24'}]",10
891532,[],0
616693,[],0
51432,[],0
980502,"[{'id': 1874281, 'name': 'Martin’s Legacy', 'description': 'You’ve completed the restoration of the Kuttenberg astronomical clock.', 'image': 'https://media.rawg.io/media/achievements/e62/e62c472f9f835fa2ed54e4c91d4fab1d.jpg', 'percent': '3.23'}, {'id': 1874283, 'name': 'Master of the Blacksmiths’ Guild', 'description': 'You passed the Trial and became a Master blacksmith.', 'image': 'https://media.rawg.io/media/achievements/54a/54adb27dce22d978c335f7fe4d535fb4.jpg', 'percent': '3.23'}, {'id': 1865441, 'name': 'Rest in One Piece', 'description': 'The skull finally reached its final resting place.', 'image': 'https://media.rawg.io/media/achievements/bdb/bdbd5e3fef615e9b5df95ee6b87f694a.jpg', 'percent': '3.23'}, {'id': 1874284, 'name': 'Home Sweet Home!', 'description': 'You completed the reconstruction of your smithy.', 'image': 'https://media.rawg.io/media/achievements/358/35810d5617d81d728b7717258d2a3d01.jpg', 'percent': '3.23'}, {'id': 1865440, 'name': 'Nothing But the Best', 'description': 'You gave the painter medicine of the highest quality.', 'image': 'https://media.rawg.io/media/achievements/445/44522a211de1b569f75afff574aa467b.jpg', 'percent': '3.23'}, {'id': 1865449, 'name': 'Bohemian Graffitti', 'description': 'You painted every type of shield.', 'image': 'https://media.rawg.io/media/achievements/e8d/e8d2eb0ed2c44b3d51216db46eff8f60.jpg', 'percent': '3.23'}, {'id': 1853081, 'name': 'Weapon of Choice', 'description': ""You've defeated an enemy with every type of weapon."", 'image': 'https://media.rawg.io/media/achievements/309/309dbf33e167c8f4468fcec9f83206e2.jpg', 'percent': '6.45'}, {'id': 1853041, 'name': 'Bohemian Sniper', 'description': 'You killed an enemy with a crossbow shot to the head at long range.', 'image': 'https://media.rawg.io/media/achievements/79e/79e41f1c41c26c7b0ac670442900e154.jpg', 'percent': '12.90'}, {'id': 1853074, 'name': 'Canny Shooter', 'description': ""You won the miners' archery competition without missing the target!"", 'image': 'https://media.rawg.io/media/achievements/704/704f049a9e3953e0f8251e7182ea6275.jpg', 'percent': '12.90'}, {'id': 1853049, 'name': 'Shiny', 'description': 'You won a gold badge in a game of dice.', 'image': 'https://media.rawg.io/media/achievements/f4f/f4f73eb7004c99d33e431db7b8061aa6.jpg', 'percent': '32.26'}]",10
471025,"[{'id': 1854898, 'name': 'Pathfinder', 'description': 'Find all items from Treasure Maps.', 'image': 'https://media.rawg.io/media/achievements/44e/44e5526495cf641f596d59ae2f435d13.jpg', 'percent': '9.09'}, {'id': 1854916, 'name': 'Skeyt Digger', 'description': 'Demand payment for your services 5 times.', 'image': 'https://media.rawg.io/media/achievements/408/408919c53cf8c9243a9e13f5931195ce.jpg', 'percent': '9.09'}, {'id': 1854908, 'name': 'Pentiment', 'description': 'Complete every side quest.', 'image': 'https://media.rawg.io/media/achievements/76f/76f104dcafc32f5164fafea60632b5be.jpg', 'percent': '9.09'}, {'id': 1854912, 'name': 'A Test of Your Reflexes', 'description': 'Complete Avowed on the difficulty Path of the Damned.', 'image': 'https://media.rawg.io/media/achievements/884/884ef0b997a078afef59d9ada606b10e.jpg', 'percent': '9.09'}, {'id': 1854923, 'name': 'A Well Overflowing', 'description': 'Max out an attribute.', 'image': 'https://media.rawg.io/media/achievements/fab/fab8e83ee8a5d3b1f1cb9e5b509800ea.jpg', 'percent': '18.18'}, {'id': 1854925, 'name': 'Training Arc', 'description': 'Complete all training sessions with companions.', 'image': 'https://media.rawg.io/media/achievements/a09/a09fc9dfbc59a98b2919098fb8a91737.jpg', 'percent': '18.18'}, {'id': 1854899, 'name': 'Pillars of Eternity', 'description': 'Cleanse all the Strangled Adra across all regions.', 'image': 'https://media.rawg.io/media/achievements/541/541a374f9c437cef5617135123ccf891.jpg', 'percent': '18.18'}, {'id': 1854902, 'name': 'Bounty Hunter', 'description': 'Complete all Bounties from all regions.', 'image': 'https://media.rawg.io/media/achievements/e34/e34ac2ca536e52b731e2cf858fa54cbf.jpg', 'percent': '18.18'}, {'id': 1854911, 'name': 'The Outer Worlds', 'description': 'Unlock all Fast Travel beacons.', 'image': 'https://media.rawg.io/media/achievements/fd9/fd9560c510c91284712c7834bbc67e99.jpg', 'percent': '18.18'}, {'id': 1854901, 'name': ""Gotta Cache 'Em All"", 'description': 'Find and open all Pargrunen Caches across the Living Lands.', 'image': 'https://media.rawg.io/media/achievements/a20/a20b90ecbf2cde1049ef25a36396063d.jpg', 'percent': '18.18'}]",10
